HumanSays:,RobotSays:,,
HumanSays:,RobotSays:,,
IDKnull,I don't know.,,
IDKnull,I'll need to take some time to think on that.,,
IDKnull,Can you try rephrasing that please?,,
IDKnull,I'm not sure about that.,,
IDKnull,Is there a different way you can ask that?,,
IDKnull,I don't have a response for that.,,
IDKnull,I will have to give that some thought.,,
IDKnull,I don't really know what you are asking.,,
IDKnull,There are some things I just don't know about yet.,,
IDKnull,I'm not an expert on that.,,
IDKnull,I could not tell you.,,
Nothing,What?,,
Nothing,I think you hit the wrong key...,,
Nothing,What did you want to ask?,,
Nothing,Let's talk about something.,,
Nothing,One more time?,,
Who are you?,I am a Assistant Bot,,
Who are you?,I am a Python powered Assistant Bot,,
Who are you?,I am a Assistant Bot running on Python and a dash of artificial intelligence.,,
Is the office of the registrar opens on Monday?,The office of registrar is open on Monday at 8am to 5pm,,
Is the office of the registrar opens on Tuesday?,The office of registrar is open on Tuesday at 8am to 5pm,,
Is the office of the registrar opens on Wednesday?,The office of registrar is open on Wednesday at 8am to 5pm,,
Is the office of the registrar opens on Thursday?,The office of registrar is open on Thursday at 8am to 5pm,,
Is the office of the registrar opens on Friday?,The office of registrar is open on Friday at 8am to 5pm,,
Can I authorize someone else to pick up my transcript on my behalf?,The registrar's office require a signed authorization letter and identification from both you and the authorized person.,,
Can I request an electronic transcript instead of a physical copy?,Check with the registrar's office to see if this option is available and how to proceed.,,
Is there a fee associated with requesting a copy of my diploma?,"Yes, there is usually a fee for obtaining a copy of your diploma. The fee amount may vary depending on the school's policy.",,
What documents do I need to provide when requesting a diploma?,"What documents do I need to provide when requesting a diploma?Typically, you need to provide a completed diploma request form, a valid identification document, and any additional supporting documents requested by the registrar's office.",,
How long does it take to process a diploma request?,The processing time can vary depending on the school and the current workload of the registrar's office. It's best to check with the registrar's office for an estimated timeframe.,,
Can I request my diploma online or do I have to visit the registrar's office in person?,"Many schools offer the option to request a diploma online, but it's important to check with the registrar's office to determine their specific procedures.",,
What days do you operate?,We are operating every weekdays,,
What days do you operate?,We are open every monday to friday,,
What days do you operate?,The extension office is open every weekdays,,
What time do you close?,We are open until 5pm,,
Where should i go ?,You can go to extension office,,
What is the requirements?,Can you ask specific questions,,
What is the requirements?,You must ask specific questions,,
What will be the requirements,You must complete your course and graduate,,
What is the requirements when taking diploma?,You must have a certification of Graduation,,
What is the requirements when taking diploma?,You can go to extention office and submit the Certificate of graduation,,
How do I request a transcript of record?,You can go to the extension office,,
How to request TOR ?,You can go to extension office.,,
How to get TOR ?,You need to go to the extension office and ask for TOR,,
What information do I need to provide when requesting a transcript?,You must bring your ID,,
What information do I need to provide when requesting a transcript?,ID,,
What is need in requesting TOR?,You must bring your ID,,
How to get TOR?,You must go to the extention office,,
Where is extension office?,At the CCS department Left side,,
How to get Transcript record?,You must go to the extention office,,
Where can iget this record?,You can get this and ask the registrar,,
What criteria must be met to earn a diploma?,You can present your graduation certificate at the extension office.,,
Where is this record available?,You can obtain this by contacting the registrar.,,
Which days do you work?,Our business is open every weekday.,,
What hours do you work?,Every weekday we are open.,,
What criteria must be met to earn a diploma?,You must have a graduation certificate,,
What time do you close,Up until 5pm,,
What should I do?,You could visit the Extension office.,,
What are the specifications?,Can you provide more details,,
Were should I go to get a yearbook?,You can go to the Extension Office near at the CCS Quadrangle.,,
How to get diploma?,You can go to extentions office near at CCS Quadrangle,,
How do i get diploma?,You can go to extentions office near at CCS Quadrangle,,
How does diploma useful?,Diplomas are often awarded by Graduated Student institutions upon completion of a prescribed curriculum,,
What is TOR?,Student Information This includes the student's full name student identification number date of birth and contact details,,
What is the use of TOR?,Student Information This includes the student's full name student identification number date of birth and contact details,,
What is Transcript of record?,Student Information This includes the student's full name student identification number date of birth and contact details,,
What is The Transcript of record ?,This in cludes the students full name and identification number.,,
What is Yearbook ?,"An annual publication giving current information and listing events or aspects of the previous year, especially in a particular field.",,
